Temperature_Internal,Humidity_Internal,Temperature_External,Moisture_A,Moisture_B,Moisture_C,Time
1,1,0,0,0,0,2014-06-17 20:35:13
1,1,0,0,0,0,2014-06-17 20:35:50
1,1,0,0,0,0,2014-06-17 20:36:30
1,1,0,0,0,0,2014-06-17 20:37:11
1,1,0,0,0,0,2014-06-17 20:37:49
1,1,0,0,0,0,2014-06-17 20:38:29
1,1,0,0,0,0,2014-06-17 20:39:09
1,1,0,0,0,0,2014-06-17 20:39:49
1,1,0,0,0,0,2014-06-17 20:40:29
1,1,0,0,0,0,2014-06-17 20:41:09
1,1,0,0,0,0,2014-06-17 20:41:49
1,1,0,0,0,0,2014-06-17 20:42:29
1,1,0,0,0,0,2014-06-17 20:43:09
1,1,0,0,0,0,2014-06-17 20:43:49
1,1,0,0,0,0,2014-06-17 20:44:29
1,1,0,0,0,0,2014-06-17 20:45:09
1,1,0,0,0,0,2014-06-17 20:45:49
1,1,0,0,0,0,2014-06-17 20:46:28
1,1,0,0,0,0,2014-06-17 20:47:09
1,1,0,0,0,0,2014-06-17 20:47:49
1,1,0,0,0,0,2014-06-17 20:48:29
1,1,0,0,0,0,2014-06-17 20:49:09
1,1,0,0,0,0,2014-06-17 20:49:49
1,1,0,0,0,0,2014-06-17 20:50:29
1,1,0,0,0,0,2014-06-17 20:51:09
1,1,0,0,0,0,2014-06-17 20:51:49
1,1,0,0,0,0,2014-06-17 20:52:29
1,1,0,0,0,0,2014-06-17 20:53:09
1,1,0,0,0,0,2014-06-18 15:23:44
1,1,0,0,0,0,2014-06-18 15:24:24
1,1,0,0,0,0,2014-06-18 15:25:04
1,1,0,0,0,0,2014-06-18 15:25:45
1,1,0,0,0,0,2014-06-18 15:26:24
1,1,0,0,0,0,2014-06-18 15:27:04
1,1,0,0,0,0,2014-06-18 15:27:44
1,1,0,0,0,0,2014-06-18 15:28:24
1,1,0,0,0,0,2014-06-18 15:29:04
1,1,0,0,0,0,2014-06-18 15:29:44
1,1,0,0,0,0,2014-06-18 15:30:24
1,1,0,0,0,0,2014-06-18 15:31:04
1,1,0,0,0,0,2014-06-18 15:31:44
1,1,0,0,0,0,2014-06-18 15:32:24
1,1,0,0,0,0,2014-06-18 15:33:04
1,1,0,0,0,0,2014-06-18 15:33:44
1,1,0,0,0,0,2014-06-18 15:34:24
1,1,0,0,0,0,2014-06-18 15:35:04
1,1,0,0,0,0,2014-06-18 15:35:44
1,1,0,0,0,0,2014-06-18 15:36:24
1,1,0,0,0,0,2014-06-18 15:37:05
1,1,0,0,0,0,2014-06-18 15:37:44
1,1,0,0,0,0,2014-06-18 15:38:24
1,1,0,0,0,0,2014-06-18 15:39:04
1,1,0,0,0,0,2014-06-18 15:39:44
1,1,0,0,0,0,2014-06-18 15:40:24
1,1,0,0,0,0,2014-06-18 15:41:04
1,1,0,0,0,0,2014-06-18 15:41:44
1,1,0,0,0,0,2014-06-18 15:42:24
1,1,0,0,0,0,2014-06-18 15:43:04
1,1,0,0,0,0,2014-06-18 15:43:44
1,1,0,0,0,0,2014-06-18 15:44:24
1,1,0,0,0,0,2014-06-18 15:45:04
1,1,0,0,0,0,2014-06-18 15:45:44
1,1,0,0,0,0,2014-06-18 15:46:24
1,1,0,0,0,0,2014-06-18 15:47:04
1,1,0,0,0,0,2014-06-18 15:47:46
1,1,0,0,0,0,2014-06-18 15:48:25
1,1,0,0,0,0,2014-06-18 15:49:04
1,1,0,0,0,0,2014-06-18 15:49:44
1,1,0,0,0,0,2014-06-18 15:50:24
1,1,0,0,0,0,2014-06-18 15:51:04
1,1,0,0,0,0,2014-06-18 15:51:44
1,1,0,0,0,0,2014-06-18 15:52:25
1,1,0,0,0,0,2014-06-18 15:53:04
1,1,0,0,0,0,2014-06-18 15:53:44
1,1,0,0,0,0,2014-06-18 15:54:24
1,1,0,0,0,0,2014-06-18 15:55:04
1,1,0,0,0,0,2014-06-18 15:55:44
1,1,0,0,0,0,2014-06-18 15:56:23
1,1,0,0,0,0,2014-06-18 15:57:03
1,1,0,0,0,0,2014-06-18 15:57:44
1,1,0,0,0,0,2014-06-18 15:58:24
1,1,0,0,0,0,2014-06-18 15:59:04
1,1,0,0,0,0,2014-06-18 15:59:44
1,1,0,0,0,0,2014-06-18 16:00:24
1,1,0,0,0,0,2014-06-18 16:01:04
1,1,0,0,0,0,2014-06-18 16:01:44
1,1,0,0,0,0,2014-06-18 16:02:24
1,1,0,0,0,0,2014-06-18 16:03:04
1,1,0,0,0,0,2014-06-18 16:03:44
1,1,0,0,0,0,2014-06-18 16:04:25
1,1,0,0,0,0,2014-06-18 16:05:04
1,1,0,0,0,0,2014-06-18 16:05:44
1,1,0,0,0,0,2014-06-18 16:06:24
1,1,0,0,0,0,2014-06-18 16:07:04
1,1,0,0,0,0,2014-06-18 16:07:45
1,1,0,0,0,0,2014-06-18 16:08:24
1,1,0,0,0,0,2014-06-18 16:09:09
1,1,0,0,0,0,2014-06-18 16:09:46
1,1,0,0,0,0,2014-06-18 16:10:24
1,1,0,0,0,0,2014-06-18 16:11:04
1,1,0,0,0,0,2014-06-18 16:11:44
1,1,0,0,0,0,2014-06-18 16:12:24
1,1,0,0,0,0,2014-06-18 16:13:04
1,1,0,0,0,0,2014-06-18 16:13:44
1,1,0,0,0,0,2014-06-18 16:14:24
1,1,0,0,0,0,2014-06-18 16:15:04
1,1,0,0,0,0,2014-06-18 16:15:44
1,1,0,0,0,0,2014-06-18 16:16:24
1,1,0,0,0,0,2014-06-18 16:17:04
1,1,0,0,0,0,2014-06-18 16:17:44
1,1,0,0,0,0,2014-06-18 16:18:24
1,1,0,0,0,0,2014-06-18 16:19:04
1,1,0,0,0,0,2014-06-18 16:19:44
1,1,0,0,0,0,2014-06-18 16:20:24
1,1,0,0,0,0,2014-06-18 16:21:04
1,1,0,0,0,0,2014-06-18 16:21:44
1,1,0,0,0,0,2014-06-18 16:22:24
1,1,0,0,0,0,2014-06-18 16:23:04
1,1,0,0,0,0,2014-06-18 16:23:44
1,1,0,0,0,0,2014-06-18 16:24:26
1,1,0,0,0,0,2014-06-18 16:25:04
1,1,0,0,0,0,2014-06-18 16:25:44
1,1,0,0,0,0,2014-06-18 16:26:24
1,1,0,0,0,0,2014-06-18 16:27:04
1,1,0,0,0,0,2014-06-18 16:27:44
1,1,0,0,0,0,2014-06-18 16:28:24
1,1,0,0,0,0,2014-06-18 16:29:04
1,1,0,0,0,0,2014-06-18 16:29:44
1,1,0,0,0,0,2014-06-18 16:30:24
1,1,0,0,0,0,2014-06-18 16:31:04
1,1,0,0,0,0,2014-06-18 16:31:44
1,1,0,0,0,0,2014-06-18 16:32:24
1,1,0,0,0,0,2014-06-18 16:33:04
1,1,0,0,0,0,2014-06-18 16:34:52
1,1,0,0,0,0,2014-06-18 16:35:31
1,1,0,0,0,0,2014-06-18 16:36:11
1,1,0,0,0,0,2014-06-18 16:36:51
1,1,0,0,0,0,2014-06-18 16:37:31
1,1,0,0,0,0,2014-06-18 16:38:11
1,1,0,0,0,0,2014-06-18 16:38:51
1,1,0,0,0,0,2014-06-18 16:39:31
1,1,0,0,0,0,2014-06-18 16:40:11
1,1,0,0,0,0,2014-06-18 16:40:51
1,1,0,0,0,0,2014-06-18 16:41:31
1,1,0,0,0,0,2014-06-18 16:42:11
1,1,0,0,0,0,2014-06-18 16:42:51
1,1,0,0,0,0,2014-06-18 16:43:31
1,1,0,0,0,0,2014-06-18 16:44:11
1,1,0,0,0,0,2014-06-18 16:44:51
1,1,0,0,0,0,2014-06-18 16:45:31
1,1,0,0,0,0,2014-06-18 16:46:11
1,1,0,0,0,0,2014-06-18 16:46:51
1,1,0,0,0,0,2014-06-18 16:47:31
1,1,0,0,0,0,2014-06-18 16:48:11
1,1,0,0,0,0,2014-06-18 16:48:50
1,1,0,0,0,0,2014-06-18 16:49:31
1,1,0,0,0,0,2014-06-18 16:50:11
1,1,0,0,0,0,2014-06-18 16:50:51
1,1,0,0,0,0,2014-06-18 16:51:31
1,1,0,0,0,0,2014-06-18 16:52:11
1,1,0,0,0,0,2014-06-18 16:52:51
1,1,0,0,0,0,2014-06-18 16:53:31
1,1,0,0,0,0,2014-06-18 16:54:11
1,1,0,0,0,0,2014-06-18 16:54:51
1,1,0,0,0,0,2014-06-18 16:57:07
1,1,0,0,0,0,2014-06-18 16:57:48
1,1,0,0,0,0,2014-06-18 16:58:27
1,1,0,0,0,0,2014-06-18 16:59:06
1,1,0,0,0,0,2014-06-18 16:59:46
1,1,0,0,0,0,2014-06-18 17:00:27
1,1,0,0,0,0,2014-06-18 17:01:07
1,1,0,0,0,0,2014-06-18 17:01:47
1,1,0,0,0,0,2014-06-18 17:02:27
1,1,0,0,0,0,2014-06-18 17:03:06
1,1,0,0,0,0,2014-06-18 17:03:48
1,1,0,0,0,0,2014-06-18 17:04:27
1,1,0,0,0,0,2014-06-18 17:05:07
1,1,0,0,0,0,2014-06-18 17:05:46
1,1,0,0,0,0,2014-06-18 17:06:26
1,1,0,0,0,0,2014-06-18 17:07:06
1,1,0,0,0,0,2014-06-18 17:07:47
1,1,0,0,0,0,2014-06-18 17:08:26
1,1,0,0,0,0,2014-06-18 17:09:07
1,1,0,0,0,0,2014-06-18 17:09:46
1,1,0,0,0,0,2014-06-18 17:10:26
1,1,0,0,0,0,2014-06-18 17:11:06
1,1,0,0,0,0,2014-06-18 17:11:46
1,1,0,0,0,0,2014-06-18 17:12:27
1,1,0,0,0,0,2014-06-18 17:13:07
1,1,0,0,0,0,2014-06-18 17:13:46
1,1,0,0,0,0,2014-06-18 17:14:27
1,1,0,0,0,0,2014-06-18 17:15:06
1,1,0,0,0,0,2014-06-18 17:15:46
1,1,0,0,0,0,2014-06-18 17:16:26
1,1,0,0,0,0,2014-06-18 17:17:06
1,1,0,0,0,0,2014-06-18 17:17:46
1,1,0,0,0,0,2014-06-18 17:18:27
1,1,0,0,0,0,2014-06-18 17:19:06
1,1,0,0,0,0,2014-06-18 17:19:46
1,1,0,0,0,0,2014-06-18 17:20:26
1,1,0,0,0,0,2014-06-18 17:21:06
1,1,0,0,0,0,2014-06-18 17:21:46
1,1,0,0,0,0,2014-06-18 17:22:27
1,1,0,0,0,0,2014-06-18 17:23:06
1,1,0,0,0,0,2014-06-18 17:23:47
1,1,0,0,0,0,2014-06-18 17:24:27
1,1,0,0,0,0,2014-06-18 17:25:06
1,1,0,0,0,0,2014-06-18 17:25:47
1,1,0,0,0,0,2014-06-18 17:26:26
1,1,0,0,0,0,2014-06-18 17:27:07
1,1,0,0,0,0,2014-06-18 17:27:47
1,1,0,0,0,0,2014-06-18 17:28:26
1,1,0,0,0,0,2014-06-18 17:29:07
1,1,0,0,0,0,2014-06-18 17:29:47
1,1,0,0,0,0,2014-06-18 17:30:27
1,1,0,0,0,0,2014-06-18 17:31:08
1,1,0,0,0,0,2014-06-18 17:31:46
1,1,0,0,0,0,2014-06-18 17:32:27
1,1,0,0,0,0,2014-06-18 17:33:07
1,1,0,0,0,0,2014-06-18 17:33:46
1,1,0,0,0,0,2014-06-18 17:34:26
1,1,0,0,0,0,2014-06-18 17:35:08
1,1,0,0,0,0,2014-06-18 17:35:46
1,1,0,0,0,0,2014-06-18 17:36:26
1,1,0,0,0,0,2014-06-18 17:37:06
1,1,0,0,0,0,2014-06-18 17:37:47
1,1,0,0,0,0,2014-06-18 17:38:27
1,1,0,0,0,0,2014-06-18 17:39:06
1,1,0,0,0,0,2014-06-18 17:39:47
1,1,0,0,0,0,2014-06-18 17:40:27
1,1,0,0,0,0,2014-06-18 17:41:06
1,1,0,0,0,0,2014-06-18 17:41:47
1,1,0,0,0,0,2014-06-18 17:42:27
1,1,0,0,0,0,2014-06-18 17:43:07
1,1,0,0,0,0,2014-06-18 17:43:47
1,1,0,0,0,0,2014-06-18 17:44:27
1,1,0,0,0,0,2014-06-18 17:45:07
1,1,0,0,0,0,2014-06-18 17:45:47
1,1,0,0,0,0,2014-06-18 17:46:27
1,1,0,0,0,0,2014-06-18 17:47:06
1,1,0,0,0,0,2014-06-18 17:47:46
1,1,0,0,0,0,2014-06-18 17:48:27
1,1,0,0,0,0,2014-06-18 17:49:07
1,1,0,0,0,0,2014-06-18 17:49:47
1,1,0,0,0,0,2014-06-18 17:50:26
1,1,0,0,0,0,2014-06-18 17:51:06
1,1,0,0,0,0,2014-06-18 17:51:47
1,1,0,0,0,0,2014-06-18 17:52:27
1,1,0,0,0,0,2014-06-18 17:53:06
1,1,0,0,0,0,2014-06-18 17:53:47
1,1,0,0,0,0,2014-06-18 17:54:27
1,1,0,0,0,0,2014-06-18 17:55:07
1,1,0,0,0,0,2014-06-18 17:55:47
1,1,0,0,0,0,2014-06-18 17:56:26
1,1,0,0,0,0,2014-06-18 17:57:07
1,1,0,0,0,0,2014-06-18 17:57:47
1,1,0,0,0,0,2014-06-18 17:58:26
1,1,0,0,0,0,2014-06-18 17:59:07
1,1,0,0,0,0,2014-06-18 17:59:47
1,1,0,0,0,0,2014-06-18 18:00:27
1,1,0,0,0,0,2014-06-18 18:01:07
1,1,0,0,0,0,2014-06-18 18:01:47
1,1,0,0,0,0,2014-06-18 18:02:26
1,1,0,0,0,0,2014-06-18 18:03:06
1,1,0,0,0,0,2014-06-18 18:03:47
1,1,0,0,0,0,2014-06-18 18:04:26
1,1,0,0,0,0,2014-06-18 18:05:06
1,1,0,0,0,0,2014-06-18 18:05:47
1,1,0,0,0,0,2014-06-18 18:06:27
1,1,0,0,0,0,2014-06-18 18:07:06
1,1,0,0,0,0,2014-06-18 18:07:47
1,1,0,0,0,0,2014-06-18 18:08:27
1,1,0,0,0,0,2014-06-18 18:09:07
1,1,0,0,0,0,2014-06-18 18:09:47
1,1,0,0,0,0,2014-06-18 18:10:27
1,1,0,0,0,0,2014-06-18 18:11:08
1,1,0,0,0,0,2014-06-18 18:11:46
1,1,0,0,0,0,2014-06-18 18:12:26
1,1,0,0,0,0,2014-06-18 18:13:07
1,1,0,0,0,0,2014-06-18 18:13:46
1,1,0,0,0,0,2014-06-18 18:14:26
1,1,0,0,0,0,2014-06-18 18:15:07
1,1,0,0,0,0,2014-06-18 18:15:47
1,1,0,0,0,0,2014-06-18 18:16:26
1,1,0,0,0,0,2014-06-18 18:17:06
1,1,0,0,0,0,2014-06-18 18:17:47
1,1,0,0,0,0,2014-06-18 18:18:27
1,1,0,0,0,0,2014-06-18 18:19:06
1,1,0,0,0,0,2014-06-18 18:19:46
1,1,0,0,0,0,2014-06-18 18:20:27
1,1,0,0,0,0,2014-06-18 18:21:07
1,1,0,0,0,0,2014-06-18 18:21:46
1,1,0,0,0,0,2014-06-18 18:22:27
1,1,0,0,0,0,2014-06-18 18:23:07
1,1,0,0,0,0,2014-06-18 18:23:47
1,1,0,0,0,0,2014-06-18 18:24:27
1,1,0,0,0,0,2014-06-18 18:25:06
1,1,0,0,0,0,2014-06-18 18:25:47
1,1,0,0,0,0,2014-06-18 18:26:26
1,1,0,0,0,0,2014-06-18 18:27:06
1,1,0,0,0,0,2014-06-18 18:27:47
1,1,0,0,0,0,2014-06-18 18:28:27
1,1,0,0,0,0,2014-06-18 18:29:06
1,1,0,0,0,0,2014-06-18 18:29:47
1,1,0,0,0,0,2014-06-18 18:30:27
1,1,0,0,0,0,2014-06-18 18:31:06
1,1,0,0,0,0,2014-06-18 18:31:47
1,1,0,0,0,0,2014-06-18 18:32:26
1,1,0,0,0,0,2014-06-18 18:33:07
1,1,0,0,0,0,2014-06-18 18:33:47
1,1,0,0,0,0,2014-06-18 18:34:26
1,1,0,0,0,0,2014-06-18 18:35:06
1,1,0,0,0,0,2014-06-18 18:35:47
1,1,0,0,0,0,2014-06-18 18:36:27
1,1,0,0,0,0,2014-06-18 18:37:06
1,1,0,0,0,0,2014-06-18 18:37:46
1,1,0,0,0,0,2014-06-18 18:38:26
1,1,0,0,0,0,2014-06-18 18:39:06
1,1,0,0,0,0,2014-06-18 18:39:46
1,1,0,0,0,0,2014-06-18 18:40:26
1,1,0,0,0,0,2014-06-18 18:41:07
1,1,0,0,0,0,2014-06-18 18:41:46
1,1,0,0,0,0,2014-06-18 18:42:27
1,1,0,0,0,0,2014-06-18 18:43:07
1,1,0,0,0,0,2014-06-18 18:43:47
1,1,0,0,0,0,2014-06-18 18:44:26
1,1,0,0,0,0,2014-06-18 18:45:07
1,1,0,0,0,0,2014-06-18 18:45:47
1,1,0,0,0,0,2014-06-18 18:46:26
1,1,0,0,0,0,2014-06-18 18:47:06
1,1,0,0,0,0,2014-06-18 18:47:47
1,1,0,0,0,0,2014-06-18 18:48:27
1,1,0,0,0,0,2014-06-18 18:49:06
1,1,0,0,0,0,2014-06-18 18:49:47
1,1,0,0,0,0,2014-06-18 18:50:26
1,1,0,0,0,0,2014-06-18 18:51:07
1,1,0,0,0,0,2014-06-18 18:51:47
1,1,0,0,0,0,2014-06-18 18:52:26
1,1,0,0,0,0,2014-06-18 18:53:07
1,1,0,0,0,0,2014-06-18 18:53:47
1,1,0,0,0,0,2014-06-18 18:54:27
1,1,0,0,0,0,2014-06-18 18:55:08
1,1,0,0,0,0,2014-06-18 18:55:46
1,1,0,0,0,0,2014-06-18 18:56:26
1,1,0,0,0,0,2014-06-18 18:57:06
1,1,0,0,0,0,2014-06-18 18:57:46
1,1,0,0,0,0,2014-06-18 18:58:26
1,1,0,0,0,0,2014-06-18 18:59:07
1,1,0,0,0,0,2014-06-18 18:59:46
1,1,0,0,0,0,2014-06-18 19:00:26
1,1,0,0,0,0,2014-06-18 19:01:07
1,1,0,0,0,0,2014-06-18 19:01:47
1,1,0,0,0,0,2014-06-18 19:02:27
1,1,0,0,0,0,2014-06-18 19:03:06
1,1,0,0,0,0,2014-06-18 19:03:46
1,1,0,0,0,0,2014-06-18 19:04:27
1,1,0,0,0,0,2014-06-18 19:05:07
1,1,0,0,0,0,2014-06-18 19:05:47
1,1,0,0,0,0,2014-06-18 19:06:27
1,1,0,0,0,0,2014-06-18 19:07:07
1,1,0,0,0,0,2014-06-18 19:07:47
1,1,0,0,0,0,2014-06-18 19:08:27
1,1,0,0,0,0,2014-06-18 19:09:06
1,1,0,0,0,0,2014-06-18 19:09:46
1,1,0,0,0,0,2014-06-18 19:10:27
1,1,0,0,0,0,2014-06-18 19:11:06
1,1,0,0,0,0,2014-06-18 19:11:46
1,1,0,0,0,0,2014-06-18 19:12:26
1,1,0,0,0,0,2014-06-18 19:13:07
1,1,0,0,0,0,2014-06-18 19:13:46
1,1,0,0,0,0,2014-06-18 19:14:27
1,1,0,0,0,0,2014-06-18 19:15:07
1,1,0,0,0,0,2014-06-18 19:15:46
1,1,0,0,0,0,2014-06-18 19:16:27
1,1,0,0,0,0,2014-06-18 19:17:06
1,1,0,0,0,0,2014-06-18 19:17:46
1,1,0,0,0,0,2014-06-18 19:18:27
1,1,0,0,0,0,2014-06-18 19:19:07
1,1,0,0,0,0,2014-06-18 19:19:47
1,1,0,0,0,0,2014-06-18 19:20:27
1,1,0,0,0,0,2014-06-18 19:21:07
1,1,0,0,0,0,2014-06-18 19:21:46
1,1,0,0,0,0,2014-06-18 19:22:27
1,1,0,0,0,0,2014-06-18 19:23:06
1,1,0,0,0,0,2014-06-18 19:23:47
1,1,0,0,0,0,2014-06-18 19:24:26
1,1,0,0,0,0,2014-06-18 19:25:07
1,1,0,0,0,0,2014-06-18 19:25:46
1,1,0,0,0,0,2014-06-18 19:26:26
1,1,0,0,0,0,2014-06-18 19:27:07
1,1,0,0,0,0,2014-06-18 19:27:47
1,1,0,0,0,0,2014-06-18 19:28:27
1,1,0,0,0,0,2014-06-18 19:29:06
1,1,0,0,0,0,2014-06-18 19:29:46
1,1,0,0,0,0,2014-06-18 19:30:27
1,1,0,0,0,0,2014-06-18 19:31:06
1,1,0,0,0,0,2014-06-18 19:31:46
1,1,0,0,0,0,2014-06-18 19:32:27
1,1,0,0,0,0,2014-06-18 19:33:07
1,1,0,0,0,0,2014-06-18 19:33:47
1,1,0,0,0,0,2014-06-18 19:34:27
1,1,0,0,0,0,2014-06-18 19:35:07
1,1,0,0,0,0,2014-06-18 19:35:52
1,1,0,0,0,0,2014-06-18 19:36:28
1,1,0,0,0,0,2014-06-18 19:37:08
1,1,0,0,0,0,2014-06-18 19:37:49
1,1,0,0,0,0,2014-06-18 19:38:52
1,1,0,0,0,0,2014-06-18 19:39:08
1,1,0,0,0,0,2014-06-18 19:39:54
1,1,0,0,0,0,2014-06-18 19:40:32
1,1,0,0,0,0,2014-06-18 19:41:10
1,1,0,0,0,0,2014-06-18 19:41:49
1,1,0,0,0,0,2014-06-18 19:42:32
1,1,0,0,0,0,2014-06-18 19:43:06
1,1,0,0,0,0,2014-06-18 19:43:52
1,1,0,0,0,0,2014-06-18 19:44:27
1,1,0,0,0,0,2014-06-18 19:45:07
1,1,0,0,0,0,2014-06-18 19:45:47
1,1,0,0,0,0,2014-06-18 19:46:41
1,1,0,0,0,0,2014-06-18 19:47:07
1,1,0,0,0,0,2014-06-18 19:47:47
1,1,0,0,0,0,2014-06-18 19:48:29
1,1,0,0,0,0,2014-06-18 19:49:09
1,1,0,0,0,0,2014-06-18 19:49:49
1,1,0,0,0,0,2014-06-18 19:50:30
1,1,0,0,0,0,2014-06-18 19:51:07
1,1,0,0,0,0,2014-06-18 19:51:47
1,1,0,0,0,0,2014-06-18 19:52:30
1,1,0,0,0,0,2014-06-18 19:53:09
1,1,0,0,0,0,2014-06-18 19:53:50
1,1,0,0,0,0,2014-06-18 19:54:27
1,1,0,0,0,0,2014-06-18 19:55:07
1,1,0,0,0,0,2014-06-18 19:55:46
1,1,0,0,0,0,2014-06-18 19:56:27
1,1,0,0,0,0,2014-06-18 19:57:07
1,1,0,0,0,0,2014-06-18 19:57:47
1,1,0,0,0,0,2014-06-18 19:58:28
1,1,0,0,0,0,2014-06-18 19:59:11
1,1,0,0,0,0,2014-06-18 19:59:47
1,1,0,0,0,0,2014-06-18 20:00:27
1,1,0,0,0,0,2014-06-18 20:01:07
1,1,0,0,0,0,2014-06-18 20:01:47
1,1,0,0,0,0,2014-06-18 20:02:27
1,1,0,0,0,0,2014-06-18 20:03:07
1,1,0,0,0,0,2014-06-18 20:03:47
1,1,0,0,0,0,2014-06-18 20:04:27
1,1,0,0,0,0,2014-06-18 20:05:07
1,1,0,0,0,0,2014-06-18 20:05:50
1,1,0,0,0,0,2014-06-18 20:06:28
1,1,0,0,0,0,2014-06-18 20:07:11
1,1,0,0,0,0,2014-06-18 20:07:47
1,1,0,0,0,0,2014-06-18 20:08:27
1,1,0,0,0,0,2014-06-18 20:09:09
1,1,0,0,0,0,2014-06-18 20:09:48
1,1,0,0,0,0,2014-06-18 20:10:31
1,1,0,0,0,0,2014-06-18 20:11:07
1,1,0,0,0,0,2014-06-18 20:11:49
1,1,0,0,0,0,2014-06-18 20:12:26
1,1,0,0,0,0,2014-06-18 20:13:08
1,1,0,0,0,0,2014-06-18 20:13:47
1,1,0,0,0,0,2014-06-18 20:14:27
1,1,0,0,0,0,2014-06-18 20:15:06
1,1,0,0,0,0,2014-06-18 20:15:47
1,1,0,0,0,0,2014-06-18 20:16:43
1,1,0,0,0,0,2014-06-18 20:17:07
1,1,0,0,0,0,2014-06-18 20:17:46
1,1,0,0,0,0,2014-06-18 20:18:27
1,1,0,0,0,0,2014-06-18 20:19:07
1,1,0,0,0,0,2014-06-18 20:19:47
1,1,0,0,0,0,2014-06-18 20:20:27
1,1,0,0,0,0,2014-06-18 20:21:12
1,1,0,0,0,0,2014-06-18 20:21:48
1,1,0,0,0,0,2014-06-18 20:22:28
1,1,0,0,0,0,2014-06-18 20:23:10
1,1,0,0,0,0,2014-06-18 20:23:49
1,1,0,0,0,0,2014-06-18 20:24:28
1,1,0,0,0,0,2014-06-18 20:25:10
1,1,0,0,0,0,2014-06-18 20:25:48
1,1,0,0,0,0,2014-06-18 20:26:29
1,1,0,0,0,0,2014-06-18 20:27:10
1,1,0,0,0,0,2014-06-18 20:27:47
1,1,0,0,0,0,2014-06-18 20:28:27
1,1,0,0,0,0,2014-06-18 20:29:06
1,1,0,0,0,0,2014-06-19 13:06:52
1,1,0,0,0,0,2014-06-19 13:07:32
1,1,0,0,0,0,2014-06-19 13:08:13
1,1,0,0,0,0,2014-06-19 13:08:52
1,1,0,0,0,0,2014-06-19 13:09:32
1,1,0,0,0,0,2014-06-19 13:10:12
1,1,0,0,0,0,2014-06-19 13:10:52
1,1,0,0,0,0,2014-06-19 13:11:32
1,1,0,0,0,0,2014-06-19 13:12:12
1,1,0,0,0,0,2014-06-19 13:12:52
1,1,0,0,0,0,2014-06-19 13:13:32
1,1,0,0,0,0,2014-06-19 13:14:12
1,1,0,0,0,0,2014-06-19 13:14:52
1,1,0,0,0,0,2014-06-19 13:15:32
1,1,0,0,0,0,2014-06-19 13:16:13
1,1,0,0,0,0,2014-06-19 13:16:52
1,1,0,0,0,0,2014-06-19 13:17:32
1,1,0,0,0,0,2014-06-19 13:18:12
1,1,0,0,0,0,2014-06-19 13:18:52
1,1,0,0,0,0,2014-06-19 13:19:32
1,1,0,0,0,0,2014-06-19 13:20:12
1,1,0,0,0,0,2014-06-19 13:20:52
1,1,0,0,0,0,2014-06-19 13:21:32
1,1,0,0,0,0,2014-06-19 13:22:12
1,1,0,0,0,0,2014-06-19 13:22:52
1,1,0,0,0,0,2014-06-19 13:23:32
1,1,0,0,0,0,2014-06-19 13:24:12
1,1,0,0,0,0,2014-06-19 13:24:52
1,1,0,0,0,0,2014-06-19 13:25:33
1,1,0,0,0,0,2014-06-19 13:26:12
1,1,0,0,0,0,2014-06-19 13:26:52
1,1,0,0,0,0,2014-06-19 13:27:34
1,1,0,0,0,0,2014-06-19 13:28:12
1,1,0,0,0,0,2014-06-19 13:28:52
1,1,0,0,0,0,2014-06-19 13:29:32
1,1,0,0,0,0,2014-06-19 13:30:12
